[2026-03-30T11:26:32.484Z] GET http://localhost:4000/api/auth/session → 200 (133ms, 226B)
[2026-03-30T11:26:32.484Z] GET http://localhost:4000/api/auth/session → 200 (111ms, 226B)
[2026-03-30T11:26:32.486Z] GET http://localhost:4000/_next/static/chunks/app/orders/%5Bid%5D/page.js → 200 (12ms, 394060B)
[2026-03-30T11:26:32.595Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:26:32.603Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:30:55.188Z] GET http://localhost:4000/orders/54b6ac25-9d0d-42f7-a521-f2ebd9c30264?_rsc=epw08 → 200 (35ms, ?B)
[2026-03-30T11:30:55.188Z] GET http://localhost:4000/_next/static/webpack/cdf09d137e610c03.webpack.hot-update.json → 200 (4ms, 44B)
[2026-03-30T11:30:55.193Z] GET http://localhost:4000/_next/static/webpack/app/layout.cdf09d137e610c03.hot-update.js → 200 (17ms, 1623B)
[2026-03-30T11:30:55.193Z] GET http://localhost:4000/_next/static/webpack/webpack.cdf09d137e610c03.hot-update.js → 200 (16ms, 858B)
[2026-03-30T11:30:55.348Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870255220 → 200 (1ms, 38176B)
[2026-03-30T11:31:09.401Z] GET http://localhost:4000/orders/54b6ac25-9d0d-42f7-a521-f2ebd9c30264?_rsc=epw08 → 200 (12ms, ?B)
[2026-03-30T11:31:09.401Z] GET http://localhost:4000/_next/static/webpack/d60d2e3a024bdb30.webpack.hot-update.json → 200 (2ms, 44B)
[2026-03-30T11:31:09.403Z] GET http://localhost:4000/_next/static/webpack/app/layout.d60d2e3a024bdb30.hot-update.js → 200 (1ms, 1623B)
[2026-03-30T11:31:09.403Z] GET http://localhost:4000/_next/static/webpack/webpack.d60d2e3a024bdb30.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:31:09.532Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870269410 → 200 (1ms, 38176B)
[2026-03-30T11:31:16.774Z] GET http://localhost:4000/orders/54b6ac25-9d0d-42f7-a521-f2ebd9c30264?_rsc=epw08 → 200 (13ms, ?B)
[2026-03-30T11:31:16.774Z] GET http://localhost:4000/_next/static/webpack/c1ee59262a3469df.webpack.hot-update.json → 200 (2ms, 44B)
[2026-03-30T11:31:16.776Z] GET http://localhost:4000/_next/static/webpack/app/layout.c1ee59262a3469df.hot-update.js → 200 (3ms, 1623B)
[2026-03-30T11:31:16.776Z] GET http://localhost:4000/_next/static/webpack/webpack.c1ee59262a3469df.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:31:16.848Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870276784 → 200 (1ms, 38176B)
[2026-03-30T11:31:24.619Z] GET http://localhost:4000/orders/54b6ac25-9d0d-42f7-a521-f2ebd9c30264?_rsc=epw08 → 200 (20ms, ?B)
[2026-03-30T11:31:24.620Z] GET http://localhost:4000/_next/static/webpack/b058e8082fd640ce.webpack.hot-update.json → 200 (3ms, 44B)
[2026-03-30T11:31:24.623Z] GET http://localhost:4000/_next/static/webpack/app/layout.b058e8082fd640ce.hot-update.js → 200 (3ms, 1623B)
[2026-03-30T11:31:24.623Z] GET http://localhost:4000/_next/static/webpack/webpack.b058e8082fd640ce.hot-update.js → 200 (4ms, 858B)
[2026-03-30T11:31:24.653Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870284635 → 200 (2ms, 38176B)
[2026-03-30T11:31:30.951Z] GET http://localhost:4000/manufacturing → 200 (257ms, 24120B)
[2026-03-30T11:31:31.112Z] GET http://localhost:4000/_next/static/webpack/f4fc2b9adade52c7.webpack.hot-update.json → 200 (35ms, ?B)
[2026-03-30T11:31:31.147Z] GET http://localhost:4000/_next/static/webpack/webpack.f4fc2b9adade52c7.hot-update.js → 200 (5ms, ?B)
[2026-03-30T11:31:31.209Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870291171 → 200 (1ms, 38176B)
[2026-03-30T11:31:31.209Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774870291171 → 200 (3ms, 56325B)
